"2017-Jun-30,14:31:22",degrees C,degrees C,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,L/m2/hr,bar,%,L/min
Time(s),T1,T2,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,Jp,TMP,Recovery,Total Flow Rate
3.769533157348633,20.125,19.937,0.31611111760139465,0.5690000116825104,0.4422270243346692,1.6740106001867003,0.601111114025116,1.0820000052452088,1.5108060109257702,5.71902018181852,0.24888889491558075,0.44800001084804536,1.265104150494933,4.788937902325024,0.2933333218097687,0.5279999792575837,15.52840650735498,1.0706463605065082,0.23111110925674438,0.4159999966621399,4.815927764737609,0.33204666115202275,0.25833332538604736,0.46499998569488527,12.76308897252083,0.8799843532417772,6166.102856820242,9.329819975200296,22.643089817254303,1.9530330352604395
10.978244066238403,20.125,19.937,0.5722222328186035,1.0300000190734864,1.4024900397300724,5.308999821294614,0.6494444608688354,1.1690000295639038,1.6920270615816118,6.405016159181649,0.2455555498600006,0.4419999897480011,1.1818658577740182,4.473846836676347,0.29277777671813965,0.5269999980926514,15.456446862745288,1.065684915713817,0.22333332896232605,0.4019999921321869,3.829165445452933,0.26401176746691063,0.2588889002799988,0.4660000205039978,12.834917472720146,0.8849367559421195,19555.335528515698,10.316516722279784,45.32177376352497,3.094517101311684
18.191943168640137,20.125,19.937,0.5733333230018616,1.031999981403351,1.4066559612631804,5.324769542325256,0.6422222256660461,1.156000006198883,1.6649480129122738,6.302510857558251,0.2477777749300003,0.44599999487400055,1.2373579288870094,4.683907077588175,0.2894444465637207,0.5210000038146972,15.024681274509426,1.035915714642366,0.22722221910953522,0.4089999943971634,4.322546605095269,0.29802921430946655,0.26055556535720825,0.4690000176429749,13.050395267224314,0.899793432726475,19613.42221081476,9.714991665771601,45.79548578168463,3.071603974175454
25.40023708343506,20.125,19.937,0.5711110830307007,1.0279999494552612,1.3983238947153094,5.293229254294279,0.6455555558204651,1.1620000004768372,1.677446000993252,6.349820866619866,0.23444443941116333,0.421999990940094,0.9044058743119239,3.4235470406790998,0.29277777671813965,0.5269999980926514,15.456446862745288,1.065684915713817,0.2294444441795349,0.41299999952316285,4.604478966391088,0.3174677739831462,0.2633333206176758,0.4739999771118164,13.409522356033325,0.9245543835948432,19497.245730145492,9.828505642998218,45.46256521550287,3.0757698957085613
32.619038105010986,20.125,19.937,0.5777778029441833,1.0400000452995302,1.4233200943589215,5.387850118387205,0.6394444704055786,1.1510000467300416,1.654533097338677,6.263086131996801,0.24944444000720978,0.44899999201297763,1.2789768891960378,4.8414519061315735,0.2922222316265106,0.5260000169277191,15.384487218135597,1.0607234709211257,0.23000000417232513,0.41400000751018523,4.674962529340387,0.32232744648794925,0.26499998569488525,0.4769999742507935,13.625000150537492,0.9394110603791987,19845.775172153277,9.829781154996157,46.243924115623116,3.0778531916975984
39.82799410820007,20.125,19.937,0.5811111330986023,1.0460000395774842,1.4358180824399,5.435160127448822,0.6344444155693054,1.1419999480247498,1.635785891735554,6.192120272434684,0.25,0.45,1.2928499999999996,4.893967318499999,0.2888889014720917,0.5200000226497651,14.952721629899749,1.0309542698496759,0.22611111402511597,0.40700000524520874,4.181581369698051,0.28830999964539333,0.25555557012557983,0.4600000262260437,12.403961883711812,0.8552234023734085,20020.038335121597,9.496760387107729,46.74489597329464,3.071603974175454
47.037111043930054,20.125,19.937,0.5827777981758118,1.0490000367164611,1.442067076480389,5.458815131979629,0.6322222352027893,1.1380000233650207,1.6274540486693385,6.160580830373401,0.25055554509162903,0.4509999811649323,1.3067227387011053,4.946481322306552,0.29055556654930115,0.5230000197887421,15.168604424017673,1.045838870385401,0.2294444441795349,0.41299999952316285,4.604478966391088,0.3174677739831462,0.26055556535720825,0.4690000176429749,13.050395267224314,0.899793432726475,20107.16991660575,9.505020879229905,46.98019716056024,3.0695211251497274
54.263745069503784,20.125,19.937,0.5905555486679077,1.062999987602234,1.4712289741754536,5.569204871133504,0.6349999904632568,1.1429999828338624,1.6378689642429358,6.200005555934852,0.24888889491558075,0.44800001084804536,1.265104150494933,4.788937902325024,0.28611111640930176,0.5150000095367432,14.592915686273578,1.0061465135709162,0.22833333909511566,0.4110000103712082,4.463513730993871,0.30774855931907297,0.25833332538604736,0.46499998569488527,12.76308897252083,0.8799843532417772,20513.782924841442,9.214488598403333,47.320123177717385,3.1090979384183894
61.468759059906006,20.125,19.937,0.5922222137451172,1.065999984741211,1.477477968215943,5.592859875664312,0.6299999952316284,1.1339999914169312,1.619121982121468,6.129040542342426,0.2477777749300003,0.44599999487400055,1.2373579288870094,4.683907077588175,0.2922222316265106,0.5260000169277191,15.384487218135597,1.0607234709211257,0.23555555939674377,0.4240000069141388,5.379792487329247,0.370923780499382,0.2616666555404663,0.4709999799728394,13.194044561529157,0.9096977068104877,20600.9145063256,8.90947340250313,47.71291067336465,3.096599950337411
