"2017-Apr-25,10:45:00",degrees C,degrees C,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,L/m2/hr,bar,%,L/min
Time(s),T1,T2,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,Jp,TMP,Recovery,Total Flow Rate
3.7675578594207764,20.937,20.812,0.6527777910232544,1.1750000238418579,1.7045250496625903,6.452326168243267,0.9366666674613953,1.6860000014305114,2.768938002979756,10.481565605859599,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.3588888943195343,0.6460000097751618,24.01980670343042,1.6561080246654392,0.2316666692495346,0.4170000046491623,4.886411327686911,0.3369063336568261,0.3216666579246521,0.5789999842643738,20.95125286977291,1.4445386023639548,23766.699455011556,17.599118458914756,38.10303180342076,4.473463052642346
10.976205825805664,20.937,20.812,0.5216666460037231,0.9389999628067017,1.2129369225263598,4.591463555900508,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.19388888776302338,0.3489999979734421,-0.10832302811443828,-0.4100470738546758,0.3961111009120941,0.7129999816417695,28.841191678923373,1.988530947401737,0.21833333373069763,0.39300000071525576,3.1948190504133755,0.22027510596028124,0.35277777910232544,0.6350000023841859,24.973510171246527,1.721863589883037,16912.3400687347,23.712531874671573,29.311445410366098,4.1381000000000006
18.184082984924316,20.937,20.812,0.4355555474758148,0.7839999854564667,0.8900719697058203,3.3692873348441092,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.19499999284744263,0.35099998712539676,-0.08057717860937075,-0.30501765767969813,0.40888887643814087,0.7359999775886535,30.496294387257095,2.1026463068948473,0.20555555820465088,0.3700000047683716,1.5737103360891354,0.10850355076853926,0.375,0.675,27.846549999999997,1.9199527907799998,12410.53805663684,27.59771185753941,23.329413750375235,3.815235047179461
25.388941049575806,20.937,20.812,0.38277778029441833,0.689000004529953,0.6921870094358923,2.6202116273887213,0.9738888740539551,1.752999973297119,2.9084989443778997,11.009860989037545,0.19166666269302368,0.34499999284744265,-0.16381509922742854,-0.6201073147665003,0.4377777874469757,0.7880000174045563,34.23826925244927,2.3606464931101714,0.20722222328186035,0.37300000190734867,1.7851591344356592,0.12308243793741605,0.3888888955116272,0.700000011920929,29.642200856232638,2.0437586077551853,9651.369232257726,30.155075919905293,19.223753982286024,3.600685953813792
32.593400955200195,20.937,20.812,0.35333332419395447,0.635999983549118,0.581787965732813,2.202305983364648,0.9811111092567444,1.76599999666214,2.935577993047238,11.112366290660946,0.1899999976158142,0.34199999570846557,-0.20543405953645788,-0.7776521433099031,0.4416666626930237,0.7949999928474426,34.74199448529482,2.395377138974313,0.2105555534362793,0.3789999961853027,2.2080567311286927,0.15224021227516865,0.39666667580604553,0.714000016450882,30.64776518160104,2.1130898546349557,8112.042548656829,30.486823102319235,16.54044454147722,3.517365958780051
39.798632860183716,20.937,20.812,0.3305555582046509,0.5950000047683716,0.4963850099325181,1.8790207804486534,0.9794444441795349,1.7629999995231629,2.929328999006749,11.088711286130138,0.1944444477558136,0.3500000059604645,-0.09444991731047647,-0.35753166148625076,0.448888897895813,0.8080000162124634,35.67748916666508,2.4598772520675576,0.2083333283662796,0.3749999910593033,1.926124369832877,0.13280165260148927,0.40444445610046387,0.7280000209808349,31.653329506969445,2.1824211015147266,6921.243749028139,31.739284966984386,14.48997226964133,3.425714008939267
47.00826692581177,20.937,20.812,0.3127777874469757,0.5630000174045563,0.42972903625369085,1.626700591125084,0.9794444441795349,1.7629999995231629,2.929328999006749,11.088711286130138,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.4583333432674408,0.8250000178813934,36.90082628676295,2.544223410489217,0.2038888931274414,0.36700000762939455,1.3622615377426186,0.09392466359966296,0.40444445610046387,0.7280000209808349,31.653329506969445,2.1824211015147266,5991.839693851926,32.91481635912358,12.793141164659053,3.3590580352604396
54.212445974349976,20.937,20.812,0.30444443225860596,0.5479999780654907,0.3984839543104174,1.5084251454861972,0.9766666889190674,1.7580000400543214,2.918914083433152,11.049286560568689,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.45722222328186035,0.8230000019073487,36.75690313725472,2.5343002547461833,0.20555555820465088,0.3700000047683716,1.5737103360891354,0.10850355076853926,0.40888887643814087,0.7359999775886535,32.22793439028263,2.2220387291674504,5556.180228395561,32.91870842767953,12.011942786987916,3.3173980377435694
61.422175884246826,20.937,20.812,0.29499998688697815,0.5309999763965607,0.3630729508340361,1.3743799788166688,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.46388888359069824,0.8349999904632569,37.62043431372643,2.5938386568890843,0.21111111342906952,0.38000000417232516,2.2785402940779953,0.15709988477997197,0.41111111640930176,0.7400000095367432,32.51524068498611,2.2418478086521483,5062.434080640139,32.789297205278274,11.041572068076121,3.288236028307677
