"2017-May-08,23:33:19",degrees C,degrees C,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,L/m2/hr,bar,%,L/min
Time(s),T1,T2,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,Jp,TMP,Recovery,Total Flow Rate
3.7692019939422607,21.937,20.625,0.4116666615009308,0.7409999907016754,0.8005029806315901,3.0302319879126274,0.9777777791023254,1.7600000023841857,2.9230800049662595,11.065056281599329,0.18833333253860474,0.33899999856948854,-0.24705301984548633,-0.9351969718533024,0.4144444465637207,0.7460000038146973,31.215906274509436,2.1522618194523666,0.212777778506279,0.3830000013113022,2.4899890924245156,0.17167877194884854,0.36888888478279114,0.6639999926090241,27.05646346913576,1.8654782206845848,11161.65101667352,26.646195779398084,21.49819095553374,3.7235829855978495
10.980018854141235,21.937,20.625,0.42888888716697693,0.7719999969005585,0.8650759935438636,3.2746673167208766,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.19277778267860413,0.34700000882148746,-0.13606887761950492,-0.5150764900296502,0.42055556178092957,0.7570000112056733,32.007477806371455,2.2068387768025763,0.21722222864627838,0.3910000115633011,3.0538538150161543,0.2105558912962078,0.3655555546283722,0.6579999983310699,26.625507880127426,1.8357648671158737,12062.011730700207,26.262639028233288,22.823784392883443,3.7902390710175045
18.187952995300293,21.937,20.625,0.4211111068725586,0.7579999923706054,0.8359139841079714,3.164277154582156,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.18722222745418549,0.3370000094175339,-0.274798869350553,-1.0402263880282767,0.4172222316265106,0.7510000169277191,31.575712218135592,2.1770695757311254,0.21222221851348877,0.3819999933242798,2.4195055294752166,0.16681909944404544,0.3733333349227905,0.672000002861023,27.631072205495837,1.9050961139956446,11655.397164428943,27.1838866823405,22.225388377350928,3.761077061581612
25.396465063095093,21.937,20.625,0.4266666769981384,0.7680000185966492,0.8567440387368205,3.2431274516747477,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.19277778267860413,0.34700000882148746,-0.13606887761950492,-0.5150764900296502,0.4138889014720917,0.7450000226497651,31.143946629899744,2.1473003746596757,0.20999999344348907,0.37799998819828035,2.1375731681793972,0.1473805397703658,0.371111124753952,0.6680000245571137,27.343769763839244,1.8852873001692827,11945.836808066522,27.1062850286901,22.653756753161442,3.781907116210461
32.60088586807251,21.937,20.625,0.4233333468437195,0.7620000243186951,0.8442460506558419,3.1958174426131305,0.977222204208374,1.7589999675750734,2.9209969324588783,11.057170998099163,0.19166666269302368,0.34499999284744265,-0.16381509922742854,-0.6201073147665003,0.4116666615009308,0.7409999907016754,30.856100330883265,2.127454063173607,0.20999999344348907,0.37799998819828035,2.1375731681793972,0.1473805397703658,0.3727777898311615,0.6710000216960907,27.55924755834341,1.9001439769536381,11771.5736450982,27.070100776433943,22.422086819944266,3.76524298311472
39.81015491485596,21.937,20.625,0.4277777671813965,0.7699999809265137,0.860909960269928,3.2588971727053884,0.977222204208374,1.7589999675750734,2.9209969324588783,11.057170998099163,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.41277778148651123,0.7430000066757202,31.000023480391498,2.1373772189166407,0.21833333373069763,0.39300000071525576,3.1948190504133755,0.22027510596028124,0.3722222149372101,0.6699999868869781,27.487419058144088,1.8951915742532952,12003.923490365574,26.04890221885442,22.763912086919333,3.781906892728806
47.0155508518219,21.937,20.625,0.4305555522441864,0.7749999940395356,0.8713249875843528,3.298322321251685,0.9783333539962769,1.7610000371932983,2.925163077473641,11.072941565099494,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.40888887643814087,0.7359999775886535,30.496294387257095,2.1026463068948473,0.21222221851348877,0.3819999933242798,2.4195055294752166,0.16681909944404544,0.3677777647972107,0.6619999766349792,26.91281032178401,1.8555736809422352,12149.143312184367,26.285046825045335,22.9508159291696,3.7964880650579937
54.227344036102295,21.937,20.625,0.42722222208976746,0.7689999997615814,0.8588269995033743,3.2510123121900683,0.9794444441795349,1.7629999995231629,2.929328999006749,11.088711286130138,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.41333332657814026,0.7439999878406525,31.07198312500119,2.142338663709332,0.21444444358348846,0.38599999845027927,2.701437890771036,0.18625765911772507,0.3705555498600006,0.6669999897480011,27.271941263639928,1.8803348974689402,11974.880149216047,26.47052430354952,22.671373613999787,3.788155998510123
61.431474924087524,21.937,20.625,0.4300000071525574,0.7740000128746033,0.8692420268177988,3.290437460736364,0.9777777791023254,1.7600000023841857,2.9230800049662595,11.065056281599329,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.4094444513320923,0.7370000123977661,30.56825789215565,2.107608017845191,0.21944443881511688,0.3949999898672104,3.3357842858105933,0.22999432062435446,0.3683333396911621,0.6630000114440918,26.984638821983335,1.860526083642578,12120.099971034837,25.440664071258897,22.921102678848,3.7923220317840585
