"2017-Mar-24,03:12:57",degrees C,degrees C,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,L/m2/hr,bar,%,L/min
Time(s),T1,T2,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,Jp,TMP,Recovery,Total Flow Rate
3.7627811431884766,21.187,21.062,0.8183333277702332,1.4729999899864197,2.3252589791417124,8.80205859223283,0.7977777719497681,1.4359999895095825,2.2481879781484606,8.510313254362964,0.18777777254581451,0.33799999058246616,-0.26092613064944725,-0.9877123842217241,0.2944444417953491,0.5299999952316284,15.672329656863212,1.080569516249542,0.2616666555404663,0.4709999799728394,8.692491588425643,0.5993264330421358,0.28388887643814087,0.5109999775886536,16.067084390282627,1.1077869077074505,32421.77715327063,7.177215435147277,50.84259205051453,4.573446957290173
10.969727039337158,21.187,21.062,0.8155555725097656,1.4680000305175782,2.314844063568116,8.762633866671383,0.7983333468437195,1.4370000243186951,2.2502710506558423,8.518198537863132,0.19166666269302368,0.34499999284744265,-0.16381509922742854,-0.6201073147665003,0.2916666567325592,0.5249999821186065,15.312523713237049,1.0557617599707827,0.2638888955116272,0.47500001192092894,8.974425840222839,0.6187651230613482,0.2800000011920929,0.5040000021457672,15.564304154121874,1.0731214170967334,32276.55888948742,6.4639880934566225,50.70724408143704,4.565115114223959
18.176830053329468,21.187,21.062,0.8155555725097656,1.4680000305175782,2.314844063568116,8.762633866671383,0.800000011920929,1.4400000214576723,2.2565200446963316,8.541853542393941,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.2938888967037201,0.5290000140666962,15.60037001225352,1.0756080714568508,0.2594444453716278,0.4670000016689301,8.4105611176312,0.579888003713989,0.28111112117767334,0.506000018119812,15.707957301473616,1.0830259568390823,32276.55888948742,7.243602539232368,50.637927952034524,4.571364108264447
25.38186502456665,21.187,21.062,0.8211110830307007,1.4779999494552614,2.3356738947153097,8.841483317794282,0.800000011920929,1.4400000214576723,2.2565200446963316,8.541853542393941,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.29499998688697815,0.5309999763965607,15.744289301472904,1.0855309610422332,0.25055554509162903,0.4509999811649323,7.2828316724479265,0.5021337650192707,0.2844444513320923,0.5120000123977662,16.13891289048195,1.1127393104077934,32566.995417053848,8.6587694235295,50.861830435117895,4.592193939411642
32.58899211883545,21.187,21.062,0.8133333325386047,1.4639999985694885,2.306511997020245,8.731093578640406,0.7994444370269775,1.4389999866485597,2.2544369721889503,8.533968258893776,0.19055555760860443,0.343000003695488,-0.19156094873249518,-0.7251367309414746,0.29722222685813904,0.5350000083446503,16.032135600489383,1.1053772725283018,0.2622222304344177,0.4720000147819519,8.762977041876322,0.6041862358924719,0.28166666626930237,0.5069999992847443,15.779781948626042,1.0879780938810888,32160.382408818154,7.14298173268139,50.570879275155804,4.560948969209195
39.797837018966675,21.187,21.062,0.8127777576446533,1.462999963760376,2.3044289245128637,8.72320829514024,0.800000011920929,1.4400000214576723,2.2565200446963316,8.541853542393941,0.1899999976158142,0.34199999570846557,-0.20543405953645788,-0.7776521433099031,0.30000001192092896,0.5400000214576721,16.391941544115546,1.130185028807061,0.27166667580604553,0.489000016450882,9.961188159507518,0.6868000167464605,0.28111112117767334,0.506000018119812,15.707957301473616,1.0830259568390823,32131.33750963306,6.088761263287065,50.52520736517733,4.560948969209195
47.00579214096069,21.187,21.062,0.8144444227218628,1.465999960899353,2.3106779185533526,8.746863299671046,0.7983333468437195,1.4370000243186951,2.2502710506558423,8.518198537863132,0.19166666269302368,0.34499999284744265,-0.16381509922742854,-0.6201073147665003,0.29499998688697815,0.5309999763965607,15.744289301472904,1.0855309610422332,0.26722222566604614,0.48100000619888306,9.39732343691588,0.6479228973991012,0.27944445610046387,0.503000020980835,15.492479506969449,1.0681692800547267,32218.469091117207,6.221060967305297,50.66221819521897,4.5609489692091945
54.209612131118774,21.187,21.062,0.8127777576446533,1.462999963760376,2.3044289245128637,8.72320829514024,0.800000011920929,1.4400000214576723,2.2565200446963316,8.541853542393941,0.19333332777023315,0.3479999899864197,-0.12219613891840009,-0.4625624862231009,0.2983333468437195,0.5370000243186951,16.176058749997615,1.1153004282713355,0.25777778029441833,0.464000004529953,8.199112319284676,0.5653091165451122,0.2822222113609314,0.5079999804496765,15.851606595778467,1.0929302309230955,32131.33750963306,7.8147203536033665,50.52520736517733,4.560948969209195
61.41751718521118,21.187,21.062,0.8166666626930237,1.4699999928474428,2.3190099851012236,8.778403587702023,0.8038889169692993,1.447000050544739,2.2711011052846914,8.597048834955725,0.1988888829946518,0.35799998939037325,0.016533852812647964,0.06258741177552574,0.2888889014720917,0.5200000226497651,14.952721629899749,1.0309542698496759,0.26277777552604675,0.4729999959468842,8.833458714324241,0.609045778051742,0.2805555462837219,0.5049999833106995,15.6361288012743,1.0780735541387398,32334.645571786474,6.460966501262783,50.52187059172575,4.590111090385915
