"2018-Jan-02,15:23:29",degrees C,degrees C,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,gal/min,L/min,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,raw signal,Volts,psi,bar,L/m2/hr,bar,%,L/min
Time(s),T1,T2,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,Jp,TMP,Recovery,Total Flow Rate
3.771062135696411,21.0,21.0,0.19111111760139465,0.3440000116825104,-0.02644797566533086,-0.10011643156330009,0.1899999976158142,0.34199999570846557,-0.030614008939266135,-0.11588657557878743,0.19055555760860443,0.343000003695488,-0.19156094873249518,-0.7251367309414746,0.18722222745418549,0.3370000094175339,1.7838576776951562,0.12299270561865455,0.20277777314186096,0.36499999165534974,1.221294411844017,0.08420531859005655,0.19055555760860443,0.343000003695488,4.000318265432121,0.2758123436377077,-368.7719866339336,1.6707935597196215,46.3495545214531,-0.057061984604596994
10.975281000137329,21.0,21.0,0.19055555760860443,0.343000003695488,-0.028530992302298386,-0.10800150357104334,0.19111111760139465,0.3440000116825104,-0.02644797566533086,-0.10011643156330009,0.19055555760860443,0.343000003695488,-0.19156094873249518,-0.7251367309414746,0.185555562376976,0.33400001227855686,1.5679748835772322,0.10810810508292958,0.20277777314186096,0.36499999165534974,1.221294411844017,0.08420531859005655,0.1944444477558136,0.3500000059604645,4.503100428116319,0.31047796707759273,-397.816106801247,1.8142432440027587,51.894375898610875,-0.054978967967629244
18.182199954986572,21.0,21.0,0.1922222226858139,0.346000000834465,-0.02228199826180932,-0.08434649904023563,0.19055555760860443,0.343000003695488,-0.028530992302298386,-0.10800150357104334,0.18888889253139496,0.3400000065565109,-0.23317990904152452,-0.8826815594848774,0.18611110746860504,0.3349999934434891,1.6399345281869167,0.11306954987562025,0.20722222328186035,0.37300000190734867,1.7851591344356592,0.12308243793741605,0.19499999284744263,0.35099998712539676,4.574925075268748,0.31543010411959954,-310.68452531709045,1.3222706672921731,43.8509877384553,-0.05081299056410771
25.39138102531433,21.0,21.0,0.189444437623024,0.3409999877214432,-0.032697025576233774,-0.1237716475865311,0.19166666269302368,0.34499999284744265,-0.02436501489877685,-0.09223157104797887,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.1805555522441864,0.32499999403953556,0.9203245710790178,0.06345417039692769,0.20277777314186096,0.36499999165534974,1.221294411844017,0.08420531859005655,0.19166666269302368,0.34499999284744265,4.1439694862604135,0.28571675055088847,-455.9043471358784,1.3108526168256986,57.30083485281761,-0.05706204047501062
32.5963351726532,21.0,21.0,0.19111111760139465,0.3440000116825104,-0.02644797566533086,-0.10011643156330009,0.19055555760860443,0.343000003695488,-0.028530992302298386,-0.10800150357104334,0.189444437623024,0.3409999877214432,-0.2193071703404188,-0.8301675556783248,0.1922222226858139,0.346000000834465,2.431506060048939,0.16764650722583022,0.19333332777023315,0.3479999899864197,0.02308329421282096,0.0015915377360678944,0.19166666269302368,0.34499999284744265,4.1439694862604135,0.28571675055088847,-368.7719866339336,3.2646544789418552,48.105624101389125,-0.054978967967629244
39.80577206611633,21.0,21.0,0.1922222226858139,0.346000000834465,-0.02228199826180932,-0.08434649904023563,0.1922222226858139,0.346000000834465,-0.02228199826180932,-0.08434649904023563,0.1850000023841858,0.3330000042915344,-0.33029094046354324,-1.2502866289401013,0.18833333253860474,0.33899999856948854,1.927778897058964,0.13291572828286263,0.2038888931274414,0.36700000762939455,1.3622615377426186,0.09392466359966296,0.1922222226858139,0.346000000834465,4.2157960599362845,0.29066902042206294,-310.68452531709045,1.7095259407550056,50.0,-0.04456399652361864
47.014037132263184,21.0,21.0,0.19055555760860443,0.343000003695488,-0.028530992302298386,-0.10800150357104334,0.189444437623024,0.3409999877214432,-0.032697025576233774,-0.1237716475865311,0.1899999976158142,0.34199999570846557,-0.20543405953645788,-0.7776521433099031,0.18777777254581451,0.33799999058246616,1.8558173223048477,0.12795415041134572,0.20277777314186096,0.36499999165534974,1.221294411844017,0.08420531859005655,0.19166666269302368,0.34499999284744265,4.1439694862604135,0.28571675055088847,-397.816106801247,1.7785989924386136,46.59793553810592,-0.06122801787853216
54.224112033843994,21.0,21.0,0.189444437623024,0.3409999877214432,-0.032697025576233774,-0.1237716475865311,0.1922222226858139,0.346000000834465,-0.02228199826180932,-0.08434649904023563,0.1899999976158142,0.34199999570846557,-0.20543405953645788,-0.7776521433099031,0.18444444239139557,0.33199999630451205,1.4240517340689927,0.09818494933989527,0.20444443821907043,0.36799998879432677,1.4327432101905373,0.09878420575893308,0.19388888776302338,0.3489999979734421,4.431273854440452,0.3055256972064185,-455.9043471358784,1.494919584064185,59.47181905694159,-0.054979023838043095
61.43071007728577,21.0,21.0,0.19166666269302368,0.34499999284744265,-0.02436501489877685,-0.09223157104797887,0.19277778267860413,0.34700000882148746,-0.020198981624841572,-0.07646142703249154,0.19111111760139465,0.3440000116825104,-0.17768783792853426,-0.672621318573053,0.18777777254581451,0.33799999058246616,1.8558173223048477,0.12795415041134572,0.20333333313465118,0.3659999996423721,1.291777974793316,0.08906499109485963,0.189444437623024,0.3409999877214432,3.8566651180803753,0.26590780389535845,-339.72864548440384,1.5644632453992955,54.67421416268997,-0.04456399652361842
